Symbol,Address,Price,24hr Volume
OMG,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0.96900000,3161318.40000000
ONE,0x799a4202c12ca952cB311598a024C80eD371a41e,0.02896000,292989034.80000000
SKL,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,0.09429000,88121052.00000000
ILV,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,122.89000000,68498.33200000
C98,0xae12c5930881c53715b369cec7606b70d8eb229f,0.35660000,20042200.90000000
ALPHA,0xa1faa113cbe53436df28ff0aee54275c13b40975,0.15130000,20028990.00000000
MDT,0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26,0.09582000,68961413.10000000
ALICE,0xAC51066d7bEC65Dc4589368da368b212745d63E8,1.77100000,3167172.65000000
STG,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,0.71810000,13939507.40000000
BAND,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,1.98600000,1325211.50000000
T,0xCdF7028ceAB81fA0C6971208e83fa7872994beE5,0.03495000,302550442.70000000
ATA,0xa2120b9e674d3fc3875f415a7df52e382f141225,0.15840000,21786998.00000000
HFT,0xb3999F658C0391d94A37f7FF328F3feC942BcADC,0.41740000,9085446.80000000
DUSK,0x940a2db1b7008b6c776d4faaca729d6d4a4aa551,0.40780000,111097638.00000000
CELR,0x4f9254c83eb525f9fcf346490bbb3ed28a81c667,0.02878000,177569004.60000000
KEY,0x4cc19356f2d37338b9802aa8e8fc58b0373296e7,0.00923300,2418031218.00000000
GTC,0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,1.77500000,2607986.30000000
AMB,0x586ee5df24c5a426e42ed7ea6e3eb0f00a4a2256,0.01178000,345891822.00000000
BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0.28700000,9596861.00000000
AXL,0x467719aD09025FcC6cF6F8311755809d45a5E5f3,1.87280000,8181612.00000000
BLZ,0x5732046a883704404f284ce41ffadd5b007fd668,0.32180000,6959714.00000000
NMR,0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671,32.88000000,96673.52000000
OM,0x3593d125a4f7849a1b059e64f4517a86dd60c95d,0.57633000,138623110.00000000
CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,3.72100000,479629.80000000
TOKEN,0x4507cEf57C46789eF8d1a19EA45f4216bae2B528,price not found,volume not found
BNT,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0.77380000,4732063.10000000
NKN,0x5Cf04716BA20127F1E2297AdDCf4B5035000c9eb,0.13640000,17363664.00000000
LQTY,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,1.39700000,9456538.20000000
BAL,0xba100000625a3754423978a60c9317c58a424e3D,4.66300000,468782.68000000
IDEX,0xb705268213d593b8fd88d3fdeff93aff5cbdcfae,0.07390000,39306476.70000000
TRU,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,0.10646000,482802637.00000000
AGLD,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,1.34000000,2684535.60000000
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.00010000,1150397867.00000000
SNT,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0.04202000,35969259.00000000
OXT,0x4575f41308EC1483f3d399aa9a2826d74Da13Deb,0.13720000,25675580.00000000
COMBO,0xc03fbf20a586fa89c2a5f6f941458e1fbc40c661,0.87030000,2760322.90000000
ANT,0xa117000000f279d81a1d3cc75430faa017fa5a2e,7.40700000,0.00000000
