Symbol,Address,Price,24hr Volume,Decimals
XTZ,Symbol not found,1.384,10969466.4,address not found
OGN,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,0.2217,29970534,address not found
LEVER,0x4B5f49487ea7B3609b1aD05459BE420548789f1f,0.002747,3823812510,address not found
NEO,Symbol not found,16.09,509971.95,address not found
API3,0x0b38210ea11411557c13457D4dA7dC6ea731B88a,3.994,4133634.33,18
SXP,0x8CE9137d39326AD0cD6491fb5CC0CbA0e089b6A9,0.4895,22295246.6,address not found
RONIN,Symbol not found,4.209,5606355.71,address not found
RDNT,0x137dDB47Ee24EaA998a535Ab00378d6BFa84F893,0.3377,35185228,address not found
GLMR,Symbol not found,0.5367,25592720.7,address not found
FXS,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,7.875,1529923,address not found
MTL,0xF433089366899D83a9f26A773D59ec7eCF30355e,2.243,2547076.4,8
QNT,0x4a220e6096b25eadb88358cb44068a3248254675,140.3,113502.696,address not found
GAL,0x5fAa989Af96Af85384b8a938c2EdE4A7378D9875,5.367,2308534.76,address not found
IOST,0xFA1a856Cfa3409CFa145Fa4e20Eb270dF3EB21ab,0.01256,1000782395,18
ENJ,0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,0.5195,19659562.1,18
CHR,0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2,0.4879,33467147,address not found
COTI,0xDDB3422497E61e13543BeA06989C0789117555c5,0.20649,66454058,18
GAS,0xd2a4cff31913016155e38e474a2c06d08be276cf,6.986,1600920.8,address not found
1INCH,0x111111111117dc0aa78b770fa6a738034120c302,0.5986,10442075.4,address not found
MAVIA,0x24fcFC492C1393274B6bcd568ac9e225BEc93584,price not found,volume not found,address not found
ROSE,0x26B80FBfC01b71495f477d5237071242e0d959d7,0.14916,142846947.1,address not found
1000XEC,Symbol not found,price not found,volume not found,address not found
WOO,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,0.4788,23965236.6,address not found
FLM,4d9eab13620fe3569ba3b0e56e2877739e4145e3,0.1321,46636369,address not found
ASTR,Symbol not found,0.1437,56685739,address not found
ZEC,Symbol not found,31.41,173259.097,address not found
KAVA,0x0C356B7fD36a5357E5A017EF11887ba100C9AB76,1.0145,16861871.6,address not found
AUDIO,0x18aaa7115705e8be94bffebde57af9bfc265b998,0.3019,16612765.1,address not found
CTSI,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,0.3286,13787074,address not found
PERP,0xbc396689893d065f41bc2c6ecbee5e0085233447,1.5888,5715814.96,address not found
USTC,Symbol not found,0.03016904,398460029,address not found
BSV,Symbol not found,price not found,volume not found,address not found
METIS,0x9E32b13ce7f2E80A01932B42553652E053D6ed8e,104.62,78780.805,address not found
BNX,0x5b1f874d0b0C5ee17a495CbB70AB8bf64107A3BD,0.5731,37334795.3,address not found
MAV,0x7448c7456a97769F6cD04F1E83A4a23cCdC46aBD,0.625,12500686,address not found
RAD,Symbol not found,3.003,8976547.2,address not found
GMX,0x62edc0692BD897D2295872a9FFCac5425011c661,46.69,144796.676,address not found
BOND,0x0391D2021f89DC339F60Fff84546EA23E337750f,4.394,3881871.53,address not found
SLP,0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25,0.006284,1256917932,0
PENDLE,0x808507121b80c02388fad14726482e061b8da827,4.0468,12274634.9,address not found
RSR,0x320623b8e4ff03373931769a31fc52a4e78b5d70,0.011884,9395016040,address not found
KAS,Symbol not found,price not found,volume not found,address not found
RLC,0x607f4c5bb672230e8672085532f7e901544a7375,3.754,1804743.4,address not found
CYBER,0x14778860e937f509e651192a90589de711fb88a9,13.514,2589137.22,address not found
EDU,0xBdEAe1cA48894A1759A8374D63925f21f2Ee2639,1.15404,6066392,address not found
KNC,0xdeFA4e8a7bcBA345F687a2f1456F5Edd9CE97202,0.9206,5454177.9,address not found
ZETA,0xf091867ec603a6628ed83d274e835539d82e9cc8,price not found,volume not found,address not found
ONT,Symbol not found,0.3669,11209263,address not found
KLAY,Symbol not found,0.2777,22809668.2,address not found
YFI,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,9150,830.89379,address not found
RVN,Symbol not found,0.03513,1706009302,address not found
DENT,0x3597bfd533a99c9aa083587b074434e61eb0a258,0.002015,2297619504,address not found
BEAMX,Symbol not found,0.039096,768797930,address not found
GLM,0x7DD9c5Cba05E151C895FDe1CF355C9A1D5DA6429,0.5689,21444923.4,address not found
LIT,0xb59490ab09a0f526cc7305822ac65f2ab12f9723,1.737,15718041.4,address not found
FRONT,0xf8C3527CC04340b208C854E985240c02F7B7793f,1.261,15391409,address not found
ARK,Symbol not found,1.1458,4387567,address not found
ORBS,0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa,price not found,volume not found,address not found
ICX,Symbol not found,0.3544,49167917.9,address not found
TLM,0x888888848B652B3E3a0f34c96E00EEC0F3a23F72,0.02738,302085001,address not found
NTRN,Symbol not found,1.2751,6587871.5,address not found
AUCTION,0xa9b1eb5908cfc3cdf91f9b8b3a74108598009096,23.8,554790.25,address not found
SFP,0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb,0.781,2337072,address not found
OMG,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,1.108,4134856.6,address not found
LSK,Symbol not found,2.044,4687988.3,address not found
HOOK,0xa260e12d2b924cb899ae80bb58123ac3fee1e2f0,1.5336,8185987.1,address not found
ONE,0x799a4202c12ca952cB311598a024C80eD371a41e,0.03335,253216257.2,address not found
SKL,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,0.11978,80559406,address not found
ILV,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,153.82,169165.701,address not found
C98,0xae12c5930881c53715b369cec7606b70d8eb229f,0.412,12672268.6,address not found
DAR,0x081131434f93063751813c619ecca9c4dc7862a3,0.26215,39887813,address not found
XVS,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,16.88,1059538.86,address not found
DASH,Symbol not found,38.4,165250.71,address not found
ALPHA,0xa1faa113cbe53436df28ff0aee54275c13b40975,0.1694,20230880,address not found
MDT,0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26,0.11029,73754818.4,address not found
ALICE,0xAC51066d7bEC65Dc4589368da368b212745d63E8,2,2391501.01,address not found
STG,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,0.7556,13098083.1,address not found
BAND,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,2.246,2343935.8,address not found
T,0xCdF7028ceAB81fA0C6971208e83fa7872994beE5,0.06125,2800775630,address not found
ATA,0xa2120b9e674d3fc3875f415a7df52e382f141225,0.1833,24407625,address not found
STRAX,Symbol not found,1.423,8901977.7,address not found
HFT,0xb3999F658C0391d94A37f7FF328F3feC942BcADC,0.4645,12230665.5,address not found
DUSK,0x940a2db1b7008b6c776d4faaca729d6d4a4aa551,0.6234,79162964,address not found
CELR,0x4f9254c83eb525f9fcf346490bbb3ed28a81c667,0.03473,124521183.1,address not found
POLYX,Symbol not found,0.586,269759694.8,address not found
KEY,0x4cc19356f2d37338b9802aa8e8fc58b0373296e7,0.011264,2152223964,address not found
GTC,0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,2.025,2996940.5,address not found
BICO,0xf17e65822b568b3903685a7c9f496cf7656cc6c2,0.564,9036050.17,address not found
AMB,0x586ee5df24c5a426e42ed7ea6e3eb0f00a4a2256,0.0138,693127860,address not found
BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0.3448,14368355,address not found
REN,0x408e41876cccdc0f92210600ef50372656052a38,0.104017,125537251,address not found
AXL,0x467719aD09025FcC6cF6F8311755809d45a5E5f3,2.0761,11714722.26,address not found
BLZ,0x5732046a883704404f284ce41ffadd5b007fd668,0.4425,31534879,address not found
NMR,0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671,37.4,76125.86,18
TWT,0x4b0f1812e5df2a09796481ff14017e6005508003,1.4093,3821741,address not found
OM,0x3593d125a4f7849a1b059e64f4517a86dd60c95d,0.81775,163802779,address not found
SUPER,0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55,1.3214,5085881,address not found
DODOX,Symbol not found,price not found,volume not found,address not found
BADGER,0x3472a5a71965499acd81997a54bba8d852c6e53d,7.593,3567378.6,address not found
XMR,Symbol not found,118.7,0,address not found
CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,4.219,479857.424,address not found
TOKEN,0x4507cEf57C46789eF8d1a19EA45f4216bae2B528,price not found,volume not found,address not found
BNT,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0.8959,3101784.4,address not found
NKN,0x5Cf04716BA20127F1E2297AdDCf4B5035000c9eb,0.1563,33884975,18
LQTY,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,1.468,7107621.9,address not found
HIGH,0x71Ab77b7dbB4fa7e017BC15090b2163221420282,2.144,5635205.952,address not found
MBL,e5a49d7fd57e7178e189d3965d1ee64368a1036d,0.006262,417474168,address not found
RIF,0x2acc95758f8b5f583470ba265eb685a8f45fc9d5,0.3046,44689441,address not found
BAL,0xba100000625a3754423978a60c9317c58a424e3D,5.271,475057.86,18
IDEX,0xb705268213d593b8fd88d3fdeff93aff5cbdcfae,0.0985,102939220.6,address not found
WAXP,Symbol not found,0.10405,296280252,address not found
STEEM,Symbol not found,0.3361,10278404.8,address not found
CTK,Symbol not found,0.9335,5361767.5,address not found
TRU,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,0.14851,712084951,address not found
SPTPT,Symbol not found,price not found,volume not found,address not found
DGB,Symbol not found,0.01429,214622202.6,address not found
AGLD,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,1.601,1965672.6,address not found
ETHW,Symbol not found,price not found,volume not found,address not found
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1,892423603,address not found
SNT,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0.04995,44597211,address not found
OXT,0x4575f41308EC1483f3d399aa9a2826d74Da13Deb,0.1525,21200918,18
COMBO,0xc03fbf20a586fa89c2a5f6f941458e1fbc40c661,1.0222,4829790.1,address not found
ONG,0x308bfaeAaC8BDab6e9Fc5Ead8EdCb5f95b0599d9,0.4263,16422160,address not found
ANT,0xa117000000f279d81a1d3cc75430faa017fa5a2e,7.407,0,address not found
BTCDOM,Symbol not found,price not found,volume not found,address not found
DEFI,0x6B0FaCA7bA905a86F221CEb5CA404f605e5b3131,price not found,volume not found,address not found
FOOTBALL,Symbol not found,price not found,volume not found,address not found
BLUEBIRD,Symbol not found,price not found,volume not found,address not found
